Linux 5.14.0-570.44.1.el9_6.x86_64 (wn165) 	11/27/2025 	_x86_64_	(72 CPU)

03:10:35 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:10:36 PM 51000086   2152465      0.00     20.00     16.00       0  try_atlas.sh
03:10:37 PM 51000086   2152465      0.00     16.00     16.00       0  try_atlas.sh
03:10:38 PM 51000086   2152465      0.00     16.00      4.00       0  try_atlas.sh
03:10:39 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:40 PM 51000086   2152465      0.00     32.00      0.00       0  try_atlas.sh
03:10:41 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:42 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:43 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:44 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:45 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:46 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:47 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:48 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:49 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:50 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:51 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:52 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:53 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:54 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:55 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:56 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:57 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:58 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:10:59 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:00 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:01 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:02 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:03 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:04 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:05 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:06 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:07 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:08 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:09 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:10 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:11 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:12 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:13 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:14 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:15 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:16 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:17 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:18 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:19 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:20 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:21 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:22 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:23 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:24 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:25 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:26 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:27 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:28 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:29 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:30 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:31 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:32 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:33 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:34 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:35 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:36 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:37 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:38 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:39 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:40 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:41 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:42 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:43 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:44 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:45 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:46 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:47 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:48 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:49 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:50 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:51 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:52 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:53 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:54 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:55 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:56 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:57 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:58 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:11:59 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:00 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:01 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:02 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:03 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:04 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:05 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:06 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:07 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:08 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:09 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:10 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:11 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:12 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:13 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:14 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:15 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:16 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
03:12:17 PM 51000086   2152465      0.00      0.00      0.00       0  try_atlas.sh
